Abbr.,Name,UTC Offset
PYT,Paraguay Time,-4
RET,Réunion Time,4
ROTT,Rothera Research Station Time,-3
SAKT,Sakhalin Island Time,11
SAMT,Samara Time,4
SAST,South African Standard Time,2
SBT,Solomon Islands Time,11
SCT,Seychelles Time,4
SDT,Samoa Daylight Time,-10
SGT,Singapore Time,8
SLST,Sri Lanka Standard Time,5.5
SRET,Srednekolymsk Time,11
SRT,Suriname Time,-3
SST,Samoa Standard Time,-11
SST,Singapore Standard Time,8
SYOT,Showa Station Time,3
TAHT,Tahiti Time,-10
THA,Thailand Standard Time,7
TFT,French Southern and Antarctic Time,5
TJT,Tajikistan Time,5
TKT,Tokelau Time,13
TLT,Timor Leste Time,9
TMT,Turkmenistan Time,5
TRT,Turkey Time,3
TOT,Tonga Time,13
TVT,Tuvalu Time,12
ULAST,Ulaanbaatar Summer Time,9
ULAT,Ulaanbaatar Standard Time,8
UTC,Coordinated Universal Time,0
UYST,Uruguay Summer Time,-2
UYT,Uruguay Standard Time,-3
UZT,Uzbekistan Time,5
VET,Venezuelan Standard Time,-4
VLAT,Vladivostok Time,10
VOLT,Volgograd Time,4
VOST,Vostok Station Time,6
VUT,Vanuatu Time,11
WAKT,Wake Island Time,12
WAST,West Africa Summer Time,2
WAT,West Africa Time,1
WEST,Western European Summer Time,1
WET,Western European Time,0
WIT,Western Indonesian Time,7
WST,Western Standard Time,8
YAKT,Yakutsk Time,9
YEKT,Yekaterinburg Time,5
A,Alpha Time Zone,1
B,Bravo Time Zone,2
C,Charlie Time Zone,3
D,Delta Time Zone,4
E,Echo Time Zone,5
F,Foxtrot Time Zone,6
G,Golf Time Zone,7
H,Hotal Time Zone,8
I,India Time Zone,9
K,Kilo Time Zone,10
L,Lima Time Zone,11
M,Mike Time Zone,12
N,November Time Zone,-1
O,Oscar Time Zone,-2
P,Papa Time Zone,-3
Q,Quebec Time Zone,-4
R,Romeo Time Zone,-5
S,Sierra Time Zone,-6
T,Tango Time Zone,-7
U,Uniform Time Zone,-8
V,Victor Time Zone,-9
W,Whiskey Time Zone,-10
X,X-ray Time Zone,-11
Y,Yankee Time Zone,-12
Z,Zulu Time Zone,0
